[(0.409023, 0.779732), (0.407968, 0.796807), (0.399409, 0.779592), (0.389872, 0.781461), (0.384173, 0.782291), (0.377453, 0.784037), (0.398646, 0.796663), (0.384488, 0.789554), (0.380407, 0.786596), (0.39065, 0.793514), (0.379799, 0.782848), (0.417917, 0.776514), (0.425514, 0.774997), (0.429372, 0.774281), (0.434701, 0.774236), (0.416507, 0.793534), (0.428545, 0.782348), (0.431846, 0.778056), (0.42348, 0.788055), (0.43269, 0.773639)]
[(0.409252, 0.781643), (0.408514, 0.798005), (0.399764, 0.78143), (0.390459, 0.783116), (0.384901, 0.783811), (0.378223, 0.785343), (0.399413, 0.79777), (0.385412, 0.790754), (0.381264, 0.78786), (0.391566, 0.794639), (0.380577, 0.784257), (0.418046, 0.778489), (0.425558, 0.776946), (0.429432, 0.776181), (0.434746, 0.775992), (0.416836, 0.794872), (0.428664, 0.784015), (0.431907, 0.779782), (0.423674, 0.789577), (0.432733, 0.775481)]
[(0.409829, 0.78206), (0.409404, 0.797531), (0.400442, 0.78215), (0.391277, 0.78397), (0.385813, 0.784732), (0.379237, 0.78631), (0.400487, 0.797535), (0.38657, 0.791302), (0.382359, 0.78866), (0.392756, 0.794772), (0.381537, 0.785236), (0.418534, 0.778791), (0.426075, 0.777034), (0.430081, 0.776062), (0.435738, 0.775534), (0.417567, 0.794308), (0.429452, 0.783595), (0.432792, 0.779353), (0.424361, 0.789082), (0.433561, 0.775187)]
[(0.409116, 0.782743), (0.409248, 0.798212), (0.399814, 0.78271), (0.390806, 0.784299), (0.385557, 0.784929), (0.379462, 0.786374), (0.400362, 0.798056), (0.386586, 0.791547), (0.382481, 0.788805), (0.392679, 0.79514), (0.381542, 0.785331), (0.4178, 0.77965), (0.425469, 0.777947), (0.429593, 0.776983), (0.435406, 0.77651), (0.417354, 0.795117), (0.42923, 0.784532), (0.432523, 0.78031), (0.424147, 0.78998), (0.433163, 0.776131)]
[(0.408647, 0.783339), (0.40832, 0.798796), (0.399445, 0.783134), (0.390382, 0.7845), (0.385008, 0.784922), (0.378621, 0.786123), (0.399402, 0.798519), (0.385608, 0.791583), (0.381566, 0.788673), (0.391654, 0.795406), (0.380857, 0.78515), (0.417161, 0.780363), (0.424439, 0.778675), (0.428222, 0.777704), (0.433448, 0.777394), (0.416303, 0.795741), (0.427692, 0.785182), (0.430756, 0.781086), (0.422885, 0.790594), (0.431457, 0.776919)]
[(0.408937, 0.784713), (0.408538, 0.799685), (0.399768, 0.784519), (0.39073, 0.785886), (0.38527, 0.786312), (0.378643, 0.787543), (0.399704, 0.799435), (0.385851, 0.792766), (0.381695, 0.789988), (0.391972, 0.796441), (0.380992, 0.786563), (0.41745, 0.781747), (0.424666, 0.780059), (0.42833, 0.779056), (0.433396, 0.778535), (0.416509, 0.796631), (0.427718, 0.786217), (0.430714, 0.782182), (0.423017, 0.791528), (0.431481, 0.778176)]
[(0.409172, 0.785501), (0.408658, 0.800523), (0.399916, 0.785335), (0.390712, 0.786729), (0.385087, 0.787188), (0.378172, 0.788533), (0.399693, 0.80031), (0.385557, 0.79369), (0.38131, 0.79095), (0.391807, 0.797346), (0.38065, 0.787505), (0.417685, 0.782543), (0.424811, 0.78087), (0.428372, 0.77986), (0.433362, 0.779301), (0.416724, 0.797462), (0.427857, 0.787001), (0.430751, 0.782953), (0.42324, 0.792345), (0.431442, 0.77897)]
[(0.408542, 0.786521), (0.408074, 0.802033), (0.399302, 0.786313), (0.390141, 0.787712), (0.38462, 0.788147), (0.377917, 0.789401), (0.398988, 0.801812), (0.384952, 0.794821), (0.380862, 0.79191), (0.391078, 0.798706), (0.380293, 0.788409), (0.417039, 0.783464), (0.42417, 0.781767), (0.427763, 0.780794), (0.432599, 0.780492), (0.416214, 0.798907), (0.427333, 0.788178), (0.430148, 0.784109), (0.42276, 0.793656), (0.430771, 0.78002)]
[(0.408381, 0.788384), (0.40817, 0.804514), (0.399064, 0.788235), (0.389879, 0.789656), (0.384432, 0.790121), (0.37798, 0.79153), (0.399024, 0.804257), (0.38493, 0.7971), (0.380888, 0.794114), (0.391078, 0.801053), (0.380183, 0.790449), (0.416988, 0.78532), (0.424348, 0.78359), (0.428038, 0.782594), (0.433067, 0.782292), (0.416482, 0.801307), (0.427815, 0.790284), (0.430607, 0.786048), (0.423171, 0.795928), (0.431181, 0.781789)]
[(0.408356, 0.789335), (0.408309, 0.805756), (0.39919, 0.789149), (0.390216, 0.79051), (0.385021, 0.79089), (0.378955, 0.792056), (0.399239, 0.805465), (0.385505, 0.797961), (0.381673, 0.794796), (0.391449, 0.802114), (0.381013, 0.791081), (0.416885, 0.786163), (0.424237, 0.784328), (0.428005, 0.783278), (0.433085, 0.783019), (0.416502, 0.802476), (0.42784, 0.791163), (0.430665, 0.78684), (0.423156, 0.796964), (0.431202, 0.782467)]
